"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"CA1"	0	0.0557823129251701	0.0856417571226556	0.0466165413533835	0.651344797203063	0.566666666666667	0.302895471819416	0.830437861513918
"CA6"	0	0.0286951144094001	0.0802811987432233	0.0105263157894737	0.357432560283267	0.616666666666667	0.358554417559969	0.874778915773365
"CACHD1"	0	0.0376004947433519	0.0765321491385956	0.0466165413533835	0.491303264922816	0.458333333333333	0.201256696527109	0.715409970139558
"CACNA2D2"	0	-0.298453927025356	0.0627629400492317	-0.303759398496241	-4.75525727111009	0.441666666666667	0.158722611493635	0.724610721839699
"CADM2"	0	-0.318367346938776	0.0849159696200188	-0.305263157894737	-3.74920463563453	0.3	0.0714082518434515	0.528591748156548
"CAMKK2"	1.2987012987013	0.249226963512678	0.0674916047187215	0.245112781954887	3.69271059047059	0.608333333333333	0.359480174516909	0.857186492149758
"CAPN2"	0	-0.234137291280148	0.0600496369241602	-0.230075187969925	-3.8990625634565	0.441666666666667	0.189521855570331	0.693811477763002
"CATSPERB"	0	-0.0474953617810761	0.0756338595498124	-0.0526315789473684	-0.627964275045301	0.541666666666667	0.278539852458042	0.804793480875291
"CCDC23"	0	-0.430179344465059	0.0547208620393726	-0.431578947368421	-7.86134078362175	0.55	0.286494549051969	0.813505450948031
"CCL5"	0	-0.190105132962276	0.0669407063806841	-0.178947368421053	-2.83990330011114	0.45	0.18500574823155	0.71499425176845
"CCNJL"	0	-0.238837353123067	0.0756261227320487	-0.243609022556391	-3.15813299022738	0.466666666666667	0.20693092316985	0.726402410163484
"CCR3"	0	0.027334570191713	0.078035627759595	0.00300751879699248	0.350283210073262	0.608333333333333	0.359957071252563	0.856709595414104
"CCR4"	0	-0.192578849721707	0.064782877161378	-0.189473684210526	-2.97268133432823	0.291666666666667	0.0576807461541703	0.525652587179163
"CCR7"	0	-0.00185528756957328	0.0800689259974815	0.00300751879699248	-0.0231711309532445	0.591666666666667	0.336188231395418	0.847145101937915
"CD101"	86.5800865800866	0.48447742733457	0.0641818122653177	0.481203007518797	7.54851585261905	0.616666666666667	0.357720584830375	0.875612748502958
"CD151"	0	-0.0244897959183673	0.0813989827519265	-0.00902255639097744	-0.30086120354849	0.366666666666667	0.111684439746889	0.621648893586444
"CD160"	0	0.0959802102659246	0.0715322503234021	0.0781954887218045	1.3417753507263	0.641666666666667	0.386483728693067	0.896849604640267
"CD19"	0	0.076808905380334	0.0781167781868685	0.087218045112782	0.98325746610535	0.6	0.34203394872384	0.85796605127616
"CD2"	0	-0.303153988868275	0.066467227358692	-0.299248120300752	-4.56095433667327	0.375	0.132530723610354	0.617469276389646
"CD22"	0	0.118614718614719	0.0759649042243653	0.124812030075188	1.56144103419634	0.65	0.379929386132346	0.920070613867654
"CD244"	0	0.0442795299938157	0.072408588036508	0.0481203007518797	0.611523179701975	0.533333333333333	0.277844350908183	0.788822315758483
